Year,Month,Neurons,Authors,Method,Source,Publication,Method Note,DOI
2005,5,177,Lebedev et al.,Ephys,S&K,Journal of Neuroscience,,https://doi.org/10.1523/JNEUROSCI.4088-04.2005
2005,5,100,Blanche et al.,Ephys,Stevenson,Journal of Neurophysiology,,https://doi.org/10.1152/jn.01023.2004
2005,6,44,Barbieri et al.,Ephys,Stevenson,IEEE TNSRE,,https://doi.org/10.1109/TNSRE.2005.847368
2005,7,147,Santucci et al.,Ephys,S&K,Eur. Journal of Neuroscience,,https://doi.org/10.1111/j.1460-9568.2005.04320.x
2005,1,100,Ohki et al.,Imaging,Meijer,Nature,calcium imaging in rat and cat cortex,https://doi.org/10.1038/nature03274
2006,5,192,Kim et al.,Ephys,Stevenson,Journal of Neural Engineering,,https://doi.org/10.1088/1741-2560/3/2/009
2006,7,57,Hochberg et al.,Ephys,Stevenson,Nature,,https://doi.org/10.1038/nature04970
2006,7,260,Lin et al.,Ephys,Stevenson,Journal of Neuroscience Methods,,https://doi.org/10.1016/j.jneumeth.2005.12.032
2007,5,68,Hatsopoulos et al.,Ephys,S&K,Journal of Neuroscience,,https://doi.org/10.1523/JNEUROSCI.3570-06.2007
2007,7,183,Zacksenhouse et al.,Ephys,S&K,PLoS ONE,,https://doi.org/10.1371/journal.pone.0000619
2007,8,60,Weber et al.,Ephys,Stevenson,Journal of Neural Engineering,,https://doi.org/10.1088/1741-2560/4/3/S04
2007,7,140,Hamed et al. ,Ephys,S&K,Journal of Neurophysiology,,https://doi.org/10.1152/jn.00760.2006
2008,5,116,Velliste et al.,Ephys,Stevenson,Nature,,https://doi.org/10.1038/nature06996
2008,10,81,Hernandez et al.,Ephys,Stevenson,Proc. of the National Academy of Sciences,,https://doi.org/10.1073/pnas.0808702105
2008,11,179,Kim et al.,Ephys,S&K,Journal of Neural Engineering,,https://doi.org/10.1088/1741-2560/5/4/010
2009,3,334,Fitzsimmons et al.,Ephys,Stevenson,Frontiers in Integrative Neurosci,,https://doi.org/10.3389/neuro.07.003.2009
2009,6,116,Nuding et al.,Ephys,S&K,Journal of Neurophysiology,,https://doi.org/10.1152/jn.91305.2008
2009,7,100,Ganguly and Carmena,Ephys,Stevenson,PLoS Biology,192 Microwires,https://doi.org/10.1371/journal.pbio.1000153
2009,8,161,Dickey et al.,Ephys,Stevenson,Journal of Neurophysiology,,https://doi.org/10.1152/jn.90920.2008
2009,10,744,Stafford et al.,Ephys,Stevenson,Neuron,retina MEA,https://doi.org/10.1016/j.neuron.2009.09.021
2010,1,68,Thiagarajan et al.,Ephys,Stevenson,PLoS Biology,,https://doi.org/10.1371/journal.pbio.1000278
2010,1,129,Kelly et al.,Ephys,Stevenson,Journal of Computational Neuroscience,,https://doi.org/10.1007/s10827-009-0208-9
2010,2,60,Schnupp et al.,Ephys,Stevenson,The Neurophysiological Bases of Auditory Perception,,https://doi.org/10.1007/978-1-4419-5686-6_38
2010,7,122,Vargas-Irwin et al.,Ephys,Stevenson,Journal of Neuroscience,,https://doi.org/10.1523/JNEUROSCI.5443-09.2010
2010,12,61,Suminski et al.,Ephys,Stevenson,Journal of Neuroscience,,https://doi.org/10.1523/JNEUROSCI.3967-10.2010
2010,9,1585,Kerlin et al. ,Imaging,Urai,Neuron,"2p, mouse",https://doi.org/10.1016/j.neuron.2010.08.002
2010,10,100,Dombeck et al. ,Imaging,Urai,Nature Neuroscience,,https://doi.org/10.1038/nn.2648
2010,9,106,O'Connor et al.,Imaging,Urai,Neuron,,https://doi.org/10.1016/j.neuron.2010.08.026
2010,4,58,Komiyama et al.,Imaging,Svoboda,Nature,average 55 neurons per experiment. First calcium imaging in behavior,https://doi.org/10.1038/nature08897
2011,1,127,Lambacher et al.,Ephys,Stevenson,Applied Physics A,in vitro - culture,https://doi.org/10.1007/s00339-010-6046-9
2011,2,107,Cerquera et al.,Ephys,Stevenson,Biological Cybernetics,,https://doi.org/10.1007/s00422-011-0418-x
2011,2,115,Quinn et al.,Ephys,Stevenson,Journal of Computational Neuroscience,,https://doi.org/10.1007/s10827-010-0247-2
2011,3,149,Truccolo et al.,Ephys,Stevenson,Nature Neuroscience,,https://doi.org/10.1038/nn.2782
2011,4,99,Kim et al.,Ephys,Stevenson,IEEE TNSRE,,https://doi.org/10.1109/TNSRE.2011.2107750
2011,11,200,O'Doherty et al.,Ephys,Stevenson,Nature,,https://doi.org/10.1038/nature10489
2011,1,200,Cheng et al. ,Imaging,Meijer,Nature Methods,,https://doi.org/10.1038/nmeth.1552
2012,1,82,Saleh et al.,Ephys,Stevenson,Journal of Neuroscience,,https://doi.org/10.1523/JNEUROSCI.2438-11.2012
2012,1,90,Peyrache et al.,Ephys,Stevenson,PNAS,,https://doi.org/10.1073/pnas.1109895109
2012,3,257,Bansal et al.,Ephys,Stevenson,Journal of Neurophysiology,,https://doi.org/10.1152/jn.00781.2011
2012,4,106,Fraser et al.,Ephys,Stevenson,Journal of Neurophysiology,,https://doi.org/10.1152/jn.01012.2010
2012,6,218,Churchland et al.,Ephys,Stevenson,Nature,,https://doi.org/10.1038/nature11129
2012,10,228,Marre et al.,Ephys,Stevenson,Journal of Neuroscience,in vitro - retina,https://doi.org/10.1523/JNEUROSCI.0723-12.2012
2012,8,250,Huber et al.,Imaging,Svoboda,Nature,First long-term calcium imaging experiment,https://doi.org/10.1038/nature11039
2012,8,138,Petreanu et al.,Imaging,Svoboda,Nature,First imaging of axons to look at neurons defined by projections,https://doi.org/10.1038/nature11321
2013,6,134,Aggarwal et al.,Ephys,Stevenson,Journal of Neurophysiology,,https://doi.org/10.1152/jn.01038.2011
2013,11,497,Ifft et al.,Ephys,Stevenson,Science Translational Medicine,,https://doi.org/10.1126/scitranslmed.3006159
2013,3,80000,Ahrens et al. ,Imaging,Urai,Nature Methods,light-sheet,https://doi.org/10.1038/nmeth.2434
2013,2,740,Ziv et al.,Imaging,Urai,Nature Neuroscience,,https://doi.org/10.1038/nn.3329 
2013,7,,Chen et al. ,Imaging,Svoboda,Nature,"Gcamp6. note that the major advance in imaging over the last 15 years have been sensors, not microscopes; better sensor --> more neurons at fixed SNR",https://doi.org/10.1038/nature12354
2013,10,411,Cotton et al.,Imaging,Meijer,Frontiers in Neural Circuits,,https://doi.org/10.3389/fncir.2013.00151
2014,1,3200,Maccione et al.,Ephys,Stevenson,Journal of Physiology,"retina MEA, approximate",https://doi.org/10.1113/jphysiol.2013.262840
2014,3,163,Berenyi et al.,Ephys,Stevenson,Journal of Neurophysiology,,https://doi.org/10.1152/jn.00785.2013
2014,4,136,Goris et al.,Ephys,Stevenson,Nature Neuroscience,,https://doi.org/10.1038/nn.3711
2014,4,565,Schwarz et al.,Ephys,Stevenson,Nature Methods,,https://doi.org/10.1038/nmeth.2936
2014,8,315,Ito et al.,Ephys,Stevenson,PLoS One,,https://doi.org/10.1371/journal.pone.0105324
2014,11,88,Diba et al.,Ephys,Stevenson,Journal of Neuroscience,,https://doi.org/10.1523/JNEUROSCI.1091-14.2014
2014,11,301,Lecoq et al. ,Imaging,Urai,Nature Neuroscience,,https://doi.org/10.1038/nn.3867
2015,7,418,Shobe et al.,Ephys,Stevenson,Journal of Neurophysiology,,https://doi.org/10.1152/jn.00464.2015
